ip,latency_ms,ttl,message
104.16.7.36,22,50,ping ok
162.159.82.102,28,50,ping ok
162.159.82.90,28,50,ping ok
162.159.82.18,30,51,ping ok
162.159.82.220,30,50,ping ok
162.159.82.173,31,50,ping ok
104.23.182.8,46,49,ping ok
104.23.180.46,47,49,ping ok
104.22.145.134,53,50,ping ok
172.71.12.87,58,51,ping ok
162.158.250.221,64,48,ping ok
172.68.75.181,65,50,ping ok
172.67.150.23,74,50,ping ok
172.67.158.42,74,50,ping ok
172.67.159.60,74,50,ping ok
172.67.146.71,75,50,ping ok
172.67.145.43,75,50,ping ok
104.18.36.88,76,48,ping ok
104.26.8.156,76,47,ping ok
172.67.149.44,77,50,ping ok
172.67.153.3,77,50,ping ok
172.67.156.9,77,50,ping ok
172.67.153.28,78,50,ping ok
172.67.154.215,78,50,ping ok
172.67.149.145,78,50,ping ok
104.18.156.39,81,47,ping ok
104.16.25.204,81,47,ping ok
104.19.252.67,81,47,ping ok
104.25.73.227,81,47,ping ok
104.27.97.49,81,47,ping ok
104.24.181.142,81,47,ping ok
172.65.164.194,81,47,ping ok
104.21.224.184,81,47,ping ok
172.71.119.75,81,49,ping ok
172.65.249.134,81,47,ping ok
104.16.172.116,81,47,ping ok
104.21.84.54,81,47,ping ok
